"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
29400,65,73,30.3,95.3,10.1,87.5,"Pass","SecondHalf","Successful","Robert Lewandowski",667
29400,65,71,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Robert Lewandowski",638
29400,65,79,75.6,23.3,80.6,10.3,"Pass","SecondHalf","Successful","Robert Lewandowski",706
29400,65,82,35.4,70.3,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Robert Lewandowski",726
29400,65,83,87.4,62.4,NA,NA,"BallTouch","SecondHalf","Successful","Robert Lewandowski",735
29400,65,79,75.7,27.4,NA,NA,"BallRecovery","SecondHalf","Successful","Robert Lewandowski",705
29400,65,92,48.1,31.2,NA,NA,"Aerial","SecondHalf","Unsuccessful","Robert Lewandowski",793
73379,65,62,9.9,54.8,23.2,31.6,"Pass","SecondHalf","Successful","Wojciech Szczesny",575
73379,65,73,13.3,51.3,16.2,70,"Pass","SecondHalf","Successful","Wojciech Szczesny",664
73379,65,92,4.6,42.5,48.1,31.2,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",792
73379,65,67,3.8,44.6,8.5,23.4,"Pass","SecondHalf","Successful","Wojciech Szczesny",612
73379,65,18,2.2,49.6,8.2,23.7,"Pass","FirstHalf","Successful","Wojciech Szczesny",208
73379,65,29,0.6,51.3,NA,NA,"Save","FirstHalf","Successful","Wojciech Szczesny",285
73379,65,53,2.9,48.4,26.4,20,"Pass","SecondHalf","Successful","Wojciech Szczesny",519
73379,65,86,10.2,37.4,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",750
73379,65,48,3.7,40.4,40.1,25,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",477
73379,65,85,1,46.7,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",742
73379,65,5,10.8,46.1,14.4,34,"Pass","FirstHalf","Successful","Wojciech Szczesny",62
73379,65,62,18.8,60.6,23.7,78.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",573
73379,65,73,23.3,53,32.7,30.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",662
73379,65,89,6.9,40.3,57.5,37,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",763
73379,65,48,12.3,54.9,60.6,81.8,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",465
73379,65,38,12.8,55.4,22.3,38.9,"Pass","FirstHalf","Successful","Wojciech Szczesny",349
73379,65,82,11.8,50.1,9.5,7.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",718
73379,65,92,2.9,51.2,11.4,27.4,"Pass","SecondHalf","Successful","Wojciech Szczesny",789
73379,65,69,10.1,53.1,15,91.5,"Pass","SecondHalf","Successful","Wojciech Szczesny",622
73379,65,82,3.2,49.9,12.9,91.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",724
73379,65,51,8.7,44.6,13.9,61.4,"Pass","SecondHalf","Successful","Wojciech Szczesny",506
73379,65,50,16,40.3,13.9,61.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",497
73379,65,52,1.4,51.9,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",512
73379,65,86,11.7,44.8,80,92.9,"Pass","SecondHalf","Successful","Wojciech Szczesny",751
73379,65,36,3.7,33.1,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",331
73379,65,39,11.2,58.7,12.4,76.1,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",361
73379,65,85,10.9,42.2,12.4,63.3,"Pass","SecondHalf","Successful","Wojciech Szczesny",743
73379,65,8,19.5,56.9,24.7,34.5,"Pass","FirstHalf","Successful","Wojciech Szczesny",115
73379,65,24,3.6,52.1,2.4,74.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",247
73379,65,4,9,49.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",61
73379,65,69,0.8,49.9,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",621
73379,65,36,2.4,35.3,NA,NA,"Smother","FirstHalf","Successful","Wojciech Szczesny",644
73379,65,13,21.8,69.1,58.3,100,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",155
73379,65,41,3,50.9,9.7,32.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",376
73379,65,51,2.8,43.4,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",504
73379,65,21,12.2,44.8,11.6,74.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",229
73379,65,85,1,46.7,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",741
73379,65,67,2.6,48.9,10.5,100,"Clearance","SecondHalf","Successful","Wojciech Szczesny",618
73379,65,2,25.1,40.1,36.7,30.9,"Pass","FirstHalf","Successful","Wojciech Szczesny",33
73379,65,12,21.8,69.1,NA,NA,"KeeperSweeper","FirstHalf","Successful","Wojciech Szczesny",154
73379,65,0,20.9,41.9,31.6,5.9,"Pass","FirstHalf","Successful","Wojciech Szczesny",12
73379,65,69,0.8,49.9,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",620
73379,65,51,2.8,43.4,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",505
73379,65,86,4.4,49.9,40.4,29.2,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",749
73379,65,36,7.2,30.7,32.2,30,"Pass","FirstHalf","Successful","Wojciech Szczesny",332
73379,65,83,3.5,50.4,7.7,25.9,"Pass","SecondHalf","Successful","Wojciech Szczesny",729
73379,65,30,2.4,46.2,6.1,71.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",289
73379,65,86,4.4,49.9,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",748
73379,65,4,21.6,67.8,35.3,92.1,"Pass","FirstHalf","Successful","Wojciech Szczesny",58
73379,65,11,3.1,47.9,5.7,27,"Pass","FirstHalf","Successful","Wojciech Szczesny",140
73379,65,21,9.9,51.5,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",228
73379,65,29,5.4,38.6,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Wojciech Szczesny",286
73379,65,24,3.2,48.5,11.7,37.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",245
73379,65,34,9.9,44.9,19,20.3,"Pass","FirstHalf","Successful","Wojciech Szczesny",315
73379,65,25,32.5,56.1,43.9,36,"Pass","FirstHalf","Successful","Wojciech Szczesny",266
73379,65,34,11,68.1,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",314
73379,65,86,4.4,49.9,NA,NA,"Claim","SecondHalf","Unsuccessful","Wojciech Szczesny",747
73379,65,5,8,56,37.4,83.8,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",66
130331,65,92,11.4,27.4,15.3,8,"Pass","SecondHalf","Successful","Andreas Christensen",790
130331,65,89,28.8,14.3,37.4,5,"Pass","SecondHalf","Successful","Andreas Christensen",769
130331,65,88,22.8,24,6.9,40.3,"Pass","SecondHalf","Successful","Andreas Christensen",762
130331,65,85,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Andreas Christensen",740
139186,304,75,32.6,89.8,22.3,72.5,"Pass","SecondHalf","Successful","Lucas Hernández",670
139186,304,65,85.8,77.2,87.3,70.7,"Pass","SecondHalf","Unsuccessful","Lucas Hernández",590
139186,304,93,40.5,75.4,60.9,97,"Pass","SecondHalf","Successful","Lucas Hernández",831
139186,304,86,57.5,73.9,63.8,74.9,"Pass","SecondHalf","Successful","Lucas Hernández",775
139186,304,66,86.2,73.2,NA,NA,"CornerAwarded","SecondHalf","Successful","Lucas Hernández",591
139186,304,80,51.4,100,34.2,81.4,"Pass","SecondHalf","Successful","Lucas Hernández",723
139186,304,89,52.9,88.9,NA,NA,"BallRecovery","SecondHalf","Successful","Lucas Hernández",800
139186,304,78,18.8,100,25.1,95.4,"Pass","SecondHalf","Successful","Lucas Hernández",708
139186,304,93,28.7,93,8.6,65.6,"Pass","SecondHalf","Successful","Lucas Hernández",844
139186,304,75,52.9,92.1,66.5,96.3,"Pass","SecondHalf","Successful","Lucas Hernández",676
139186,304,76,57.7,89.4,62.4,73.7,"Pass","SecondHalf","Unsuccessful","Lucas Hernández",683
139186,304,92,51.9,68.8,NA,NA,"Aerial","SecondHalf","Successful","Lucas Hernández",824
139186,304,88,73.3,54,73.1,36.1,"Pass","SecondHalf","Successful","Lucas Hernández",787
139186,304,67,41,71,44,55.9,"Pass","SecondHalf","Successful","Lucas Hernández",603
139186,304,76,34.9,91.6,12.6,74.5,"Pass","SecondHalf","Successful","Lucas Hernández",688
139186,304,83,51.4,93.1,35.4,72.8,"Pass","SecondHalf","Successful","Lucas Hernández",752
139186,304,91,28.8,91.2,NA,NA,"Foul","SecondHalf","Successful","Lucas Hernández",813
139186,304,64,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Lucas Hernández",581
139186,304,72,50.8,92.9,NA,NA,"BlockedPass","SecondHalf","Successful","Lucas Hernández",642
139186,304,66,88,61.7,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Lucas Hernández",594
139186,304,93,51.4,71.6,NA,NA,"BallTouch","SecondHalf","Successful","Lucas Hernández",825
139186,304,78,16.4,95.4,20.2,96.6,"Pass","SecondHalf","Unsuccessful","Lucas Hernández",706
139186,304,93,39.1,86.8,58,94.5,"Pass","SecondHalf","Successful","Lucas Hernández",842
139186,304,81,88.9,37.6,NA,NA,"Aerial","SecondHalf","Unsuccessful","Lucas Hernández",733
139186,304,81,87.5,39,NA,NA,"CornerAwarded","SecondHalf","Successful","Lucas Hernández",734
139186,304,74,31.9,93.6,44.9,97.5,"Pass","SecondHalf","Successful","Lucas Hernández",663
139186,304,74,45,100,59,95.5,"Pass","SecondHalf","Successful","Lucas Hernández",666
139186,304,89,52.9,88.9,33.9,74.6,"Pass","SecondHalf","Successful","Lucas Hernández",801
261212,65,27,14.4,58.7,NA,NA,"Save","FirstHalf","Successful","Dani Olmo",282
261212,65,55,31.9,79.2,NA,NA,"TakeOn","SecondHalf","Successful","Dani Olmo",528
261212,65,46,43.9,53.6,36,30.9,"Pass","FirstHalf","Successful","Dani Olmo",420
261212,65,25,79,43.7,NA,NA,"CornerAwarded","FirstHalf","Successful","Dani Olmo",276
261212,65,71,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Dani Olmo",639
261212,65,37,53.7,58.5,NA,NA,"BallRecovery","FirstHalf","Successful","Dani Olmo",344
261212,65,14,70.9,45.4,NA,NA,"Aerial","FirstHalf","Unsuccessful","Dani Olmo",187
261212,65,39,75.3,20.1,77.7,39.5,"Pass","FirstHalf","Successful","Dani Olmo",353
261212,65,55,28.8,81.4,53.3,93.6,"Pass","SecondHalf","Successful","Dani Olmo",529
261212,65,4,56.2,28.3,41.2,30.7,"Pass","FirstHalf","Successful","Dani Olmo",53
261212,65,15,87.8,26.2,88.3,33,"Pass","FirstHalf","Unsuccessful","Dani Olmo",184
261212,65,9,64.1,26.2,70.3,5.6,"Pass","FirstHalf","Successful","Dani Olmo",132
261212,65,9,32.1,43.7,39.9,91.2,"Pass","FirstHalf","Successful","Dani Olmo",118
261212,65,12,23.3,14,15.7,5.6,"Pass","FirstHalf","Successful","Dani Olmo",151
261212,65,9,70.4,26.5,86.5,31.2,"Pass","FirstHalf","Unsuccessful","Dani Olmo",134
261212,65,5,28.7,26.2,13.8,27.9,"Pass","FirstHalf","Successful","Dani Olmo",64
261212,65,18,55.3,47,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Dani Olmo",212
261212,65,16,59.5,37,55.2,40.1,"Pass","FirstHalf","Successful","Dani Olmo",200
261212,65,50,61.8,73.8,NA,NA,"TakeOn","SecondHalf","Unsuccessful","Dani Olmo",483
261212,65,70,67.1,53.7,69.7,51.5,"Pass","SecondHalf","Successful","Dani Olmo",630
261212,65,55,10.4,96.8,NA,NA,"Tackle","SecondHalf","Unsuccessful","Dani Olmo",525
261212,65,48,37.7,73.2,25.5,70,"Pass","SecondHalf","Successful","Dani Olmo",474
261212,65,25,74.9,40.9,NA,NA,"SavedShot","FirstHalf","Successful","Dani Olmo",275
261212,65,56,0,0,NA,NA,"Card","SecondHalf","Successful","Dani Olmo",536
261212,65,31,54,36.4,42.1,43.9,"Pass","FirstHalf","Successful","Dani Olmo",303
261212,65,13,36.5,37.4,34.2,13.2,"Pass","FirstHalf","Successful","Dani Olmo",165
261212,65,40,21.5,20.4,13.9,20.6,"Pass","FirstHalf","Successful","Dani Olmo",368
261212,65,56,55,64.1,NA,NA,"Foul","SecondHalf","Unsuccessful","Dani Olmo",535
261212,65,51,26,7.9,36.1,6.8,"Pass","SecondHalf","Unsuccessful","Dani Olmo",510
261212,65,59,57.2,18.9,64.8,7.9,"Pass","SecondHalf","Unsuccessful","Dani Olmo",562
261212,65,47,26.9,30.7,60,100,"Pass","SecondHalf","Unsuccessful","Dani Olmo",460
261212,65,9,53,77.8,46.6,68.5,"Pass","FirstHalf","Successful","Dani Olmo",121
261212,65,58,44,51.3,NA,NA,"Foul","SecondHalf","Successful","Dani Olmo",551
261212,65,24,30.9,53,41.5,17.7,"Pass","FirstHalf","Successful","Dani Olmo",251
261212,65,56,90,92.1,76,71.2,"Pass","SecondHalf","Successful","Dani Olmo",533
261212,65,27,18.6,62.4,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Dani Olmo",283
261212,65,70,67.1,53.7,NA,NA,"BallRecovery","SecondHalf","Successful","Dani Olmo",629
261212,65,63,44.1,17.3,33.5,13.8,"Pass","SecondHalf","Successful","Dani Olmo",581
261212,65,63,90.2,41,NA,NA,"SavedShot","SecondHalf","Successful","Dani Olmo",586
261212,65,6,87.2,4.4,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Dani Olmo",76
261212,65,46,33,85.2,NA,NA,"Dispossessed","SecondHalf","Successful","Dani Olmo",455
261212,65,37,53.7,58.5,NA,NA,"MissedShots","FirstHalf","Successful","Dani Olmo",345
261212,65,30,32.2,84.5,43.7,88.1,"Pass","FirstHalf","Unsuccessful","Dani Olmo",294
279423,65,30,43.5,72.1,37.4,81.4,"Pass","FirstHalf","Successful","Frenkie de Jong",298
279423,65,13,26.2,44,36.5,37.4,"Pass","FirstHalf","Successful","Frenkie de Jong",164
279423,65,47,76.8,35.7,NA,NA,"Foul","FirstHalf","Unsuccessful","Frenkie de Jong",438
279423,65,2,34.2,75.6,43.5,94.1,"Pass","FirstHalf","Successful","Frenkie de Jong",37
279423,65,16,42.3,76.5,34.9,87.9,"Pass","FirstHalf","Successful","Frenkie de Jong",190
279423,65,71,35.4,57,36.8,29.5,"Pass","SecondHalf","Successful","Frenkie de Jong",646
279423,65,52,11.4,60,16,93,"Clearance","SecondHalf","Successful","Frenkie de Jong",514
279423,65,43,57.6,23.5,53.3,55.2,"Pass","FirstHalf","Successful","Frenkie de Jong",388
279423,65,2,34.2,75.6,NA,NA,"BallRecovery","FirstHalf","Successful","Frenkie de Jong",36
279423,65,16,54.7,65.4,NA,NA,"Interception","FirstHalf","Successful","Frenkie de Jong",193
